Maker/Brand,Model,PowerTrain,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Acura,ADX,ICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,1940,3084,3942,4584,5136,4468,5442,0,0
Acura,ILX,HV,6,10,8,4,8,2,0,2,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,ILX,ICE,1978,1908,3100,3258,3338,3322,3226,3318,3224,3720,2706,3918,2466,3000,3108,3264,2848,2228,2402,2344,1832,1998,1544,2158,1386,1478,1648,1664,1740,2382,2644,2760,2444,2050,1648,1670,1312,1808,1824,2024,2232,1852,1748,1824,1860,2112,2102,1848,805,1047,1289,1152,1351,1312,1224,1439,1078,1430,1253,1305,1870,2166,1446,1012,2078,2218,2460,2662,2754,3046,2282,2834,914,819,1253,1312,1842,2093,1957,1018,422,209,700,1361,1045,1223,1493,1445,862,208,26,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,MDX,HV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,296,326,502,434,478,406,602,456,188,208,356,536,474,404,390,442,290,314,276,334,112,111,144,174,188,194,204,243,166,214,186,194,232,290,206,106,188,220,254,336,294,206,126,102,18,10,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,MDX,ICE,8762,9106,11006,9940,10842,9184,9954,9494,8626,8810,8184,12508,7152,8584,8176,9466,8416,7436,9804,10262,9860,10104,9244,12486,6548,7082,8282,7990,8318,8154,8952,8630,10258,10168,10080,11696,5748,6466,7682,6634,7722,7382,8394,12062,8996,7596,8568,11562,2856,3722,3838,3165,4237,3893,4584,5733,3667,4154,4598,5442,5690,7396,4068,3344,6474,7734,8734,9994,9546,9258,8856,11978,2809,5369,8776,7684,7039,5077,4289,4632,2101,3157,3551,5535,2821,4332,6405,4735,2794,2523,2150,3368,4086,4050,4028,5133,4455,4692,6075,5758,5935,5048,4397,4172,4386,3638,4074,4968,6222,7300,8760,8202,12644,8260,7690,8064,6548,7808,8656,10070,5932,6926,8424,8460,7760,6406,5952,6034,5732,6780,0,0
Acura,RDX,ICE,7034,7724,7926,7944,10686,10112,9154,8728,7696,7782,7382,9884,6208,7596,10620,11810,9132,7186,8640,8414,7838,7888,7500,11890,6404,8058,7538,7586,10298,10654,11078,9358,7386,7064,7550,9616,5922,7532,8796,8402,9408,14584,11568,11586,11398,12386,11902,13676,4172,4965,5835,4926,5415,4868,4934,5459,4384,5888,5767,6263,6986,9964,5356,3520,8854,10820,10634,10114,9328,10044,8310,11640,3386,3520,4706,4576,5864,5638,5789,5842,4915,5313,3976,3488,1627,2737,3514,2857,1638,1866,1575,1960,1962,1557,1087,2369,1848,2090,2871,2573,2791,3502,3292,3962,4273,4200,3692,4134,5554,6430,8250,6918,6482,6634,8026,8844,7218,7438,6772,7410,5188,5122,7534,7482,5862,4570,3948,4464,3894,4788,0,0
Acura,RLX,HV,28,42,36,30,48,54,56,68,52,28,26,32,36,24,38,38,36,36,22,38,48,26,66,62,22,54,60,44,28,32,20,26,36,52,72,138,120,120,134,136,158,94,118,132,108,76,102,82,49,52,40,46,34,15,16,17,36,49,53,44,74,84,34,28,78,136,128,116,116,140,62,64,35,20,18,8,6,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,RLX,ICE,324,304,352,358,430,394,370,306,296,256,214,286,160,182,222,274,218,190,190,198,156,160,214,322,138,152,160,168,136,116,108,194,152,146,186,234,148,182,222,206,168,156,178,234,220,202,216,350,70,75,95,105,57,35,26,21,10,19,27,28,52,84,28,24,64,116,140,120,128,112,100,80,24,23,24,18,10,7,4,1,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,TL,ICE,36,44,32,20,20,10,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,TLX,ICE,5784,6838,6860,8186,8704,7972,7060,8706,9506,11554,5974,7016,4478,6160,7536,7558,6470,5624,6248,7190,5816,5428,4562,7242,3806,4812,5630,10516,7016,6350,4990,4820,5086,5336,5128,6202,4310,5588,8028,5828,5446,4580,4092,3834,4128,4526,4914,5662,1669,2219,3141,2096,2235,1812,1761,2252,1741,2188,2587,2847,3538,4526,2904,2048,2934,2878,3772,3946,3696,4730,4028,4570,1312,1788,3041,2848,3375,3048,2800,2768,1952,1368,1147,653,224,985,1782,1921,1146,1064,859,602,571,866,674,814,990,1121,1609,1576,2173,2013,1631,1231,1229,980,1085,1093,1766,1650,1844,1142,1064,956,1232,1152,1096,1072,1054,928,708,876,1480,1418,1374,1412,1558,2038,1394,1312,0,0
Acura,TSX,ICE,12,8,18,8,8,2,4,2,2,6,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura,ZDX,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,510,1388,2006,1958,2424,2634,3696,2768,2988,3870,4662,3746,2636,1330,1040,790,50,0,0
Acura,ZDX,ICE,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
